Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
01/24/2024,"10,549.04","10,549.04","10,549.04","10,549.04",,0.08%,,,,,,,
01/23/2024,"10,540.38","10,540.38","10,540.38","10,540.38",,0.29%,,,,,,,
01/22/2024,"10,509.44","10,509.44","10,509.44","10,509.44",,0.22%,,,,,,,
01/19/2024,"10,486.44","10,486.44","10,486.44","10,486.44",,1.24%,,,,,,,
01/18/2024,"10,358.29","10,358.29","10,358.29","10,358.29",,0.89%,,,,,,,
01/17/2024,"10,267.05","10,267.05","10,267.05","10,267.05",,-0.56%,,,,,,,
01/16/2024,"10,324.83","10,324.83","10,324.83","10,324.83",,-0.37%,,,,,,,
01/12/2024,"10,363.35","10,363.35","10,363.35","10,363.35",,0.08%,,,,,,,
01/11/2024,"10,354.69","10,354.69","10,354.69","10,354.69",,-0.06%,,,,,,,
01/10/2024,"10,361.27","10,361.27","10,361.27","10,361.27",,0.57%,,,,,,,
01/09/2024,"10,302.73","10,302.73","10,302.73","10,302.73",,-0.13%,,,,,,,
01/08/2024,"10,316.52","10,316.52","10,316.52","10,316.52",,1.41%,,,,,,,
01/05/2024,"10,172.75","10,172.75","10,172.75","10,172.75",,0.18%,,,,,,,
01/04/2024,"10,154.20","10,154.20","10,154.20","10,154.20",,-0.33%,,,,,,,
